original_filename,npz_path,tile_cov_shape,S_full,S_full_wgap_alpha50,s
1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2521_FV_s000.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2521_FV_s000.npz,"(8, 8, 4)",0.5514810085296631,0.5634410381317139,0.5394042730331421
1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2796_FV_s000.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2796_FV_s000.npz,"(8, 8, 4)",0.8838698267936707,0.8821471929550171,0.9947981834411621
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2406_MVL_s000.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2406_MVL_s000.npz,"(8, 8, 4)",0.5056744813919067,0.49283453822135925,0.8973990678787231
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2549_FV_s000.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2549_FV_s000.npz,"(8, 8, 4)",0.06217668205499649,0.06393163651227951,0.05852866172790527
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3176_MVL_s000.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3176_MVL_s000.npz,"(8, 8, 4)",0.18867690861225128,0.19539669156074524,0.1046028733253479
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3190_RV_s000.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3190_RV_s000.npz,"(8, 8, 4)",0.1947328746318817,0.2019474357366562,0.10450518131256104
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4317_RV_s000.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4317_RV_s000.npz,"(8, 8, 4)",0.6030288934707642,0.6008806228637695,0.9984375238418579
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4452_RV_s000.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4452_RV_s000.npz,"(8, 8, 4)",0.37861889600753784,0.3996998071670532,0.2962304949760437
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4573_FV_s000.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4573_FV_s000.npz,"(8, 8, 4)",0.9375999569892883,0.9363995790481567,0.9994791746139526
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4710_MVL_s000.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4710_MVL_s000.npz,"(8, 8, 4)",0.23157858848571777,0.24204717576503754,0.1319987177848816
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_0447_MVR_s000.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_0447_MVR_s000.npz,"(8, 8, 4)",0.7363759279251099,0.7189401984214783,0.8222265839576721
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_1214_MVL_s000.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_1214_MVL_s000.npz,"(8, 8, 4)",0.945572555065155,0.9486243724822998,0.9976595044136047
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_1224_RV_s000.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_1224_RV_s000.npz,"(8, 8, 4)",0.7991094589233398,0.79677414894104,0.9950553178787231
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_2839_MVR_s000.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_2839_MVR_s000.npz,"(8, 8, 4)",0.5749086141586304,0.5721966028213501,0.9354361891746521
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_3372_FV_s000.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_3372_FV_s000.npz,"(8, 8, 4)",0.6155697107315063,0.6048836708068848,0.9523698091506958
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000012000_f000000300_0383_MVR_s000.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000012000_f000000300_0383_MVR_s000.npz,"(8, 8, 4)",0.30226433277130127,0.3052197992801666,0.2885807156562805
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000012000_f000000300_1807_RV_s000.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000012000_f000000300_1807_RV_s000.npz,"(8, 8, 4)",0.41362160444259644,0.3961978852748871,0.8089518547058105
