file_id,original_dominant_class,actual_dominant_class,class_1_ratio,class_2_ratio,class_3_ratio,S_full,original_caption,caption,severity_token,changed
0001_FV,1,2,0.3619433641433716,0.6362369656562805,0.0,0.5310613512992859,"noticeable transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible","noticeable semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible",noticeable,True
0003_FV,1,2,0.3619433641433716,0.6362369656562805,0.0,0.5310613512992859,"noticeable transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible","noticeable semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible",noticeable,True
0005_FV,1,2,0.3619433641433716,0.6362369656562805,0.0,0.5310613512992859,"noticeable transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible","noticeable semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible",noticeable,True
0007_FV,1,2,0.3619433641433716,0.6362369656562805,0.0,0.5310613512992859,"noticeable transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible","noticeable semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible",noticeable,True
0008_MVL,1,3,0.0734993517398834,0.0383455418050289,0.6670198440551758,0.6757362484931946,"severe transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible","severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",severe,True
0011_MVL,1,3,0.0734993517398834,0.0383455418050289,0.6670198440551758,0.6757362484931946,"severe transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible","severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",severe,True
0013_MVL,1,3,0.0734993517398834,0.0383455418050289,0.6670198440551758,0.6757362484931946,"severe transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible","severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",severe,True
0014_MVL,1,3,0.0734993517398834,0.0383455418050289,0.6670198440551758,0.6757362484931946,"severe transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible","severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",severe,True
0015_MVR,1,3,0.0,0.4437890648841858,0.5558642745018005,0.8715894818305969,"severe transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible","severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",severe,True
0017_MVR,1,3,0.0,0.4437890648841858,0.5558642745018005,0.8715894818305969,"severe transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible","severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",severe,True
0019_MVR,1,3,0.0,0.4437890648841858,0.5558642745018005,0.8715894818305969,"severe transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible","severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",severe,True
0021_MVR,1,3,0.0,0.4437890648841858,0.5558642745018005,0.8715894818305969,"severe transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible","severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",severe,True
0023_RV,1,3,0.0,0.0949259474873542,0.4732185900211334,0.5986670851707458,"noticeable transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible","noticeable opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",noticeable,True
0025_RV,1,3,0.0,0.0949259474873542,0.4732185900211334,0.5986670851707458,"noticeable transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible","noticeable opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",noticeable,True
0027_RV,1,3,0.0,0.0949259474873542,0.4732185900211334,0.5986670851707458,"noticeable transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible","noticeable opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",noticeable,True
0029_RV,1,3,0.0,0.0949259474873542,0.4732185900211334,0.5986670851707458,"noticeable transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible","noticeable opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",noticeable,True
0031_FV,3,2,0.3619433641433716,0.6362369656562805,0.0,0.5310613512992859,"noticeable opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible","noticeable semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible",noticeable,True
0033_FV,3,2,0.3619433641433716,0.6362369656562805,0.0,0.5310613512992859,"noticeable opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible","noticeable semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible",noticeable,True
0035_FV,3,2,0.3619433641433716,0.6362369656562805,0.0,0.5310613512992859,"noticeable opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible","noticeable semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible",noticeable,True
0037_FV,3,2,0.3619433641433716,0.6362369656562805,0.0,0.5310613512992859,"noticeable opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible","noticeable semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible",noticeable,True
0039_MVL,3,3,0.0734993517398834,0.0383455418050289,0.6670198440551758,0.6757362484931946,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible","severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",severe,False
0041_MVL,3,3,0.0734993517398834,0.0383455418050289,0.6670198440551758,0.6757362484931946,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible","severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",severe,False
0043_MVL,3,3,0.0734993517398834,0.0383455418050289,0.6670198440551758,0.6757362484931946,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible","severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",severe,False
0045_MVL,3,3,0.0734993517398834,0.0383455418050289,0.6670198440551758,0.6757362484931946,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible","severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",severe,False
0047_MVL,3,3,0.0734993517398834,0.0383455418050289,0.6670198440551758,0.6757362484931946,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible","severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",severe,False
0049_MVR,3,3,0.0,0.4437890648841858,0.5558642745018005,0.8715894818305969,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible","severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",severe,False
0051_MVR,3,3,0.0,0.4437890648841858,0.5558642745018005,0.8715894818305969,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible","severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",severe,False
0053_MVR,3,3,0.0,0.4437890648841858,0.5558642745018005,0.8715894818305969,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible","severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",severe,False
0055_MVR,3,3,0.0,0.4437890648841858,0.5558642745018005,0.8715894818305969,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible","severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",severe,False
0057_RV,2,3,0.0,0.0949259474873542,0.4732185900211334,0.5986670851707458,"noticeable semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible","noticeable opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",noticeable,True
0060_RV,2,3,0.0,0.0949259474873542,0.4732185900211334,0.5986670851707458,"noticeable semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible","noticeable opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",noticeable,True
0061_RV,2,3,0.0,0.0949259474873542,0.4732185900211334,0.5986670851707458,"noticeable semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible","noticeable opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",noticeable,True
0063_RV,2,3,0.0,0.0949259474873542,0.4732185900211334,0.5986670851707458,"noticeable semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible","noticeable opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",noticeable,True
