rgb_path,npz_path,split,s,global_level,global_bin
synthetic_soiling/batch_896f_10masks/resized_640x480/1751756474033_1751757225669_01_merged_seg2_final_level_max6_20250706071205_20250706071213_f_t0000000000_f000000000_0543_RV_s000.png,synthetic_soiling/batch_896f_10masks/npz/1751756474033_1751757225669_01_merged_seg2_final_level_max6_20250706071205_20250706071213_f_t0000000000_f000000000_0543_RV_s000.npz,train,0.2236647605895996,2,1
synthetic_soiling/batch_896f_10masks/resized_640x480/1751756474033_1751757225669_01_merged_seg2_final_level_max6_20250706071205_20250706071213_f_t0000000000_f000000000_3993_MVL_s000.png,synthetic_soiling/batch_896f_10masks/npz/1751756474033_1751757225669_01_merged_seg2_final_level_max6_20250706071205_20250706071213_f_t0000000000_f000000000_3993_MVL_s000.npz,train,0.32796671986579895,2,1
synthetic_soiling/batch_896f_10masks/resized_640x480/1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_3199_FV_s000.png,synthetic_soiling/batch_896f_10masks/npz/1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_3199_FV_s000.npz,train,0.3132668733596802,2,1
synthetic_soiling/batch_896f_10masks/resized_640x480/1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_4063_MVR_s000.png,synthetic_soiling/batch_896f_10masks/npz/1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_4063_MVR_s000.npz,train,0.33837783336639404,2,1
synthetic_soiling/batch_896f_10masks/resized_640x480/1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_4460_FV_s000.png,synthetic_soiling/batch_896f_10masks/npz/1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_4460_FV_s000.npz,train,0.39114001393318176,2,1
synthetic_soiling/batch_896f_10masks/resized_640x480/1751757850921_1751758250644_01_merged_seg1_final_level_max6_20250706072955_20250706073006_f_t0000003000_f000000075_4715_MVR_s000.png,synthetic_soiling/batch_896f_10masks/npz/1751757850921_1751758250644_01_merged_seg1_final_level_max6_20250706072955_20250706073006_f_t0000003000_f000000075_4715_MVR_s000.npz,train,0.18013565242290497,1,1
synthetic_soiling/batch_896f_10masks/resized_640x480/1751757850921_1751758250644_01_merged_seg1_final_level_max6_20250706072955_20250706073006_f_t0000003000_f000000075_0795_MVL_s000.png,synthetic_soiling/batch_896f_10masks/npz/1751757850921_1751758250644_01_merged_seg1_final_level_max6_20250706072955_20250706073006_f_t0000003000_f000000075_0795_MVL_s000.npz,train,0.20378074049949646,2,1
synthetic_soiling/batch_896f_10masks/resized_640x480/1751865204979_1751865591015_01_merged_seg1_final_level_max5_20250707131443_20250707131452_f_t0000000000_f000000000_3254_RV_s000.png,synthetic_soiling/batch_896f_10masks/npz/1751865204979_1751865591015_01_merged_seg1_final_level_max5_20250707131443_20250707131452_f_t0000000000_f000000000_3254_RV_s000.npz,train,0.34530505537986755,2,1
synthetic_soiling/batch_896f_10masks/resized_640x480/1751784025470_1751784400905_01_merged_seg1_final_level_max6_20250706144440_20250706144445_f_t0000000000_f000000000_3881_RV_s000.png,synthetic_soiling/batch_896f_10masks/npz/1751784025470_1751784400905_01_merged_seg1_final_level_max6_20250706144440_20250706144445_f_t0000000000_f000000000_3881_RV_s000.npz,train,0.30319517850875854,2,1
synthetic_soiling/batch_896f_10masks/resized_640x480/1751841587494_1751841953236_01_merged_seg2_final_level_max6_20250707064125_20250707064136_f_t0000002000_f000000050_0370_FV_s000.png,synthetic_soiling/batch_896f_10masks/npz/1751841587494_1751841953236_01_merged_seg2_final_level_max6_20250707064125_20250707064136_f_t0000002000_f000000050_0370_FV_s000.npz,train,0.3930056691169739,2,1
