S_gt,S_hat,error,bias,image_path
0.5634410381317139,0.28198132,0.2814597189426422,-0.2814597189426422,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2521_FV_s000_640x480.png
0.8821471929550171,0.25667697,0.6254702210426331,-0.6254702210426331,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2796_FV_s000_640x480.png
0.4928345382213592,0.3390816,0.15375295281410212,-0.15375295281410212,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2406_MVL_s000_640x480.png
0.0639316365122795,0.35028014,0.28634849935770035,0.28634849935770035,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2549_FV_s000_640x480.png
0.1953966915607452,0.35331574,0.15791904926300052,0.15791904926300052,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3176_MVL_s000_640x480.png
0.2019474357366562,0.3609519,0.15900446474552155,0.15900446474552155,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3190_RV_s000_640x480.png
0.6008806228637695,0.33605325,0.2648273706436157,-0.2648273706436157,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4317_RV_s000_640x480.png
0.3996998071670532,0.3475875,0.052112311124801636,-0.052112311124801636,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4452_RV_s000_640x480.png
0.9363995790481568,0.22680618,0.7095934003591539,-0.7095934003591539,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4573_FV_s000_640x480.png
0.2420471757650375,0.33139268,0.08934549987316134,0.08934549987316134,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4710_MVL_s000_640x480.png
