image_path,S_gt,S_hat_baseline,error,bias,output_filename,original_filename
synthetic_soiling/batch_896f_10masks/resized_640x480/1751756474033_1751757225669_01_merged_seg2_final_level_max6_20250706071205_20250706071213_f_t0000000000_f000000000_4791_MVL_s000.png,0.3560515344142914,0.26570183,0.0903497040271759,-0.0903497040271759,1751756474033_1751757225669_01_merged_seg2_final_level_max6_20250706071205_20250706071213_f_t0000000000_f000000000_4791_MVL_s000.png,1751756474033_1751757225669_01_merged_seg2_final_level_max6_20250706071205_20250706071213_f_t0000000000_f000000000_4791_MVL_s000.png
synthetic_soiling/batch_896f_10masks/resized_640x480/1751756474033_1751757225669_01_merged_seg2_final_level_max6_20250706071205_20250706071213_f_t0000000000_f000000000_0543_RV_s000.png,0.2236647605895996,0.27296034,0.049295574426651,0.049295574426651,1751756474033_1751757225669_01_merged_seg2_final_level_max6_20250706071205_20250706071213_f_t0000000000_f000000000_0543_RV_s000.png,1751756474033_1751757225669_01_merged_seg2_final_level_max6_20250706071205_20250706071213_f_t0000000000_f000000000_0543_RV_s000.png
synthetic_soiling/batch_896f_10masks/resized_640x480/1751756474033_1751757225669_01_merged_seg2_final_level_max6_20250706071205_20250706071213_f_t0000000000_f000000000_3993_MVL_s000.png,0.32796671986579895,0.31185892,0.016107797622680664,-0.016107797622680664,1751756474033_1751757225669_01_merged_seg2_final_level_max6_20250706071205_20250706071213_f_t0000000000_f000000000_3993_MVL_s000.png,1751756474033_1751757225669_01_merged_seg2_final_level_max6_20250706071205_20250706071213_f_t0000000000_f000000000_3993_MVL_s000.png
synthetic_soiling/batch_896f_10masks/resized_640x480/1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_3199_FV_s000.png,0.3132668733596802,0.28668877,0.02657809853553772,-0.02657809853553772,1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_3199_FV_s000.png,1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_3199_FV_s000.png
synthetic_soiling/batch_896f_10masks/resized_640x480/1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_4063_MVR_s000.png,0.33837783336639404,0.29385146,0.044526368379592896,-0.044526368379592896,1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_4063_MVR_s000.png,1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_4063_MVR_s000.png
synthetic_soiling/batch_896f_10masks/resized_640x480/1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_4894_MVR_s000.png,0.42538759112358093,0.34323397,0.08215361833572388,-0.08215361833572388,1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_4894_MVR_s000.png,1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_4894_MVR_s000.png
synthetic_soiling/batch_896f_10masks/resized_640x480/1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_4460_FV_s000.png,0.39114001393318176,0.34184536,0.04929465055465698,-0.04929465055465698,1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_4460_FV_s000.png,1751755146001_1751755440828_01_merged_seg3_final_level_max6_20250706064219_20250706064224_f_t0000002000_f000000050_4460_FV_s000.png
synthetic_soiling/batch_896f_10masks/resized_640x480/1751757850921_1751758250644_01_merged_seg1_final_level_max6_20250706072955_20250706073006_f_t0000003000_f000000075_4715_MVR_s000.png,0.18013565242290497,0.19960769,0.01947203278541565,0.01947203278541565,1751757850921_1751758250644_01_merged_seg1_final_level_max6_20250706072955_20250706073006_f_t0000003000_f000000075_4715_MVR_s000.png,1751757850921_1751758250644_01_merged_seg1_final_level_max6_20250706072955_20250706073006_f_t0000003000_f000000075_4715_MVR_s000.png
synthetic_soiling/batch_896f_10masks/resized_640x480/1751757850921_1751758250644_01_merged_seg1_final_level_max6_20250706072955_20250706073006_f_t0000003000_f000000075_0795_MVL_s000.png,0.20378074049949646,0.18462805,0.0191526859998703,-0.0191526859998703,1751757850921_1751758250644_01_merged_seg1_final_level_max6_20250706072955_20250706073006_f_t0000003000_f000000075_0795_MVL_s000.png,1751757850921_1751758250644_01_merged_seg1_final_level_max6_20250706072955_20250706073006_f_t0000003000_f000000075_0795_MVL_s000.png
synthetic_soiling/batch_896f_10masks/resized_640x480/1751865204979_1751865591015_01_merged_seg1_final_level_max5_20250707131443_20250707131452_f_t0000000000_f000000000_4431_FV_s000.png,0.37791216373443604,0.29837278,0.07953938841819763,-0.07953938841819763,1751865204979_1751865591015_01_merged_seg1_final_level_max5_20250707131443_20250707131452_f_t0000000000_f000000000_4431_FV_s000.png,1751865204979_1751865591015_01_merged_seg1_final_level_max5_20250707131443_20250707131452_f_t0000000000_f000000000_4431_FV_s000.png
