file_id,output_image,output_caption,caption,S_full,dominant_class,bg_method,class_0_ratio,class_1_ratio,class_2_ratio,class_3_ratio,rgb_path,gt_label_path,npz_path
0001_FV,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0001_FV.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0001_FV.txt,"noticeable transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible",0.5310613512992859,1,random,0.0018196614691987,0.3619433641433716,0.6362369656562805,0.0,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0001_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0001_FV.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/2669_FV.npz
0003_FV,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0003_FV.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0003_FV.txt,"noticeable transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible",0.5310613512992859,1,random,0.0018196614691987,0.3619433641433716,0.6362369656562805,0.0,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0003_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0003_FV.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/2669_FV.npz
0005_FV,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0005_FV.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0005_FV.txt,"noticeable transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible",0.5310613512992859,1,random,0.0018196614691987,0.3619433641433716,0.6362369656562805,0.0,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0005_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0005_FV.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/2669_FV.npz
0007_FV,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0007_FV.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0007_FV.txt,"noticeable transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible",0.5310613512992859,1,random,0.0018196614691987,0.3619433641433716,0.6362369656562805,0.0,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0007_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0007_FV.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/2669_FV.npz
0008_MVL,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0008_MVL.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0008_MVL.txt,"severe transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible",0.6757362484931946,1,random,0.2211352586746215,0.0734993517398834,0.0383455418050289,0.6670198440551758,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0008_MVL.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0008_MVL.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/3608_MVL.npz
0011_MVL,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0011_MVL.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0011_MVL.txt,"severe transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible",0.6757362484931946,1,random,0.2211352586746215,0.0734993517398834,0.0383455418050289,0.6670198440551758,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0011_MVL.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0011_MVL.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/3608_MVL.npz
0013_MVL,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0013_MVL.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0013_MVL.txt,"severe transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible",0.6757362484931946,1,random,0.2211352586746215,0.0734993517398834,0.0383455418050289,0.6670198440551758,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0013_MVL.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0013_MVL.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/3608_MVL.npz
0014_MVL,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0014_MVL.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0014_MVL.txt,"severe transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible",0.6757362484931946,1,random,0.2211352586746215,0.0734993517398834,0.0383455418050289,0.6670198440551758,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0014_MVL.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0014_MVL.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/3608_MVL.npz
0015_MVR,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0015_MVR.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0015_MVR.txt,"severe transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible",0.8715894818305969,1,random,0.0003466796770226,0.0,0.4437890648841858,0.5558642745018005,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0015_MVR.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0015_MVR.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/4249_MVR.npz
0017_MVR,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0017_MVR.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0017_MVR.txt,"severe transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible",0.8715894818305969,1,random,0.0003466796770226,0.0,0.4437890648841858,0.5558642745018005,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0017_MVR.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0017_MVR.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/4249_MVR.npz
