file_id,rgb_path,gt_label_path,npz_path
0001_FV,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0001_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0001_FV.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/2669_FV.npz
0003_FV,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0003_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0003_FV.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/2669_FV.npz
0005_FV,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0005_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0005_FV.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/2669_FV.npz
0007_FV,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0007_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0007_FV.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/2669_FV.npz
0008_MVL,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0008_MVL.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0008_MVL.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/3608_MVL.npz
0011_MVL,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0011_MVL.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0011_MVL.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/3608_MVL.npz
0013_MVL,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0013_MVL.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0013_MVL.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/3608_MVL.npz
0014_MVL,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0014_MVL.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0014_MVL.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/3608_MVL.npz
0015_MVR,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0015_MVR.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0015_MVR.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/4249_MVR.npz
0017_MVR,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0017_MVR.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0017_MVR.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/4249_MVR.npz
0019_MVR,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0019_MVR.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0019_MVR.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/4249_MVR.npz
0021_MVR,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0021_MVR.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0021_MVR.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/4249_MVR.npz
0023_RV,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0023_RV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0023_RV.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/2040_RV.npz
0025_RV,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0025_RV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0025_RV.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/2040_RV.npz
0027_RV,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0027_RV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0027_RV.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/2040_RV.npz
0029_RV,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0029_RV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0029_RV.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/2040_RV.npz
0031_FV,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0031_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0031_FV.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/2669_FV.npz
0033_FV,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0033_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0033_FV.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/2669_FV.npz
0035_FV,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0035_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0035_FV.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/2669_FV.npz
0037_FV,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0037_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0037_FV.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/2669_FV.npz
0039_MVL,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0039_MVL.png,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0039_MVL.png,/home/yf/soiling_project/dataset/woodscape_processed/labels_tile/3608_MVL.npz
