rgb_path,npz_path,split,S,s,global_level,global_bin,original_filename,mask_file_id,spill_rate
sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2521_FV_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2521_FV_s000.npz,train,0.5514810085296631,0.5394042730331421,3,1,1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2521_FV_s000.png,2521_FV,0.093284
sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2796_FV_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2796_FV_s000.npz,train,0.8838698267936707,0.994798183441162,4,1,1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2796_FV_s000.png,2796_FV,0.003892
sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2406_MVL_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2406_MVL_s000.npz,train,0.5056744813919067,0.8973990678787231,3,1,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2406_MVL_s000.png,2406_MVL,0.026308
sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2549_FV_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2549_FV_s000.npz,train,0.0621766820549964,0.0585286617279052,1,1,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2549_FV_s000.png,2549_FV,0.828994
sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3176_MVL_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3176_MVL_s000.npz,train,0.1886769086122512,0.1046028733253479,2,1,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3176_MVL_s000.png,3176_MVL,0.727572
sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3190_RV_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3190_RV_s000.npz,train,0.1947328746318817,0.104505181312561,2,1,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3190_RV_s000.png,3190_RV,0.831526
sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4317_RV_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4317_RV_s000.npz,val,0.6030288934707642,0.998437523841858,4,1,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4317_RV_s000.png,4317_RV,0.000783
sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4452_RV_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4452_RV_s000.npz,train,0.3786188960075378,0.2962304949760437,3,1,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4452_RV_s000.png,4452_RV,0.520825
sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4573_FV_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4573_FV_s000.npz,train,0.9375999569892884,0.9994791746139526,4,1,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4573_FV_s000.png,4573_FV,0.001244
sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4710_MVL_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/npz/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4710_MVL_s000.npz,train,0.2315785884857177,0.1319987177848816,2,1,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4710_MVL_s000.png,4710_MVL,0.696803
