file_id,output_image,output_caption,caption,S_full,dominant_class,bg_method,class_0_ratio,class_1_ratio,class_2_ratio,class_3_ratio,gt_label_path,rgb_path
3384_MVR,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/3384_MVR.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/3384_MVR.txt,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",0.8715894818305969,,,0.0003466796770226,0.0,0.4437890648841858,0.5558642745018005,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/3384_MVR.png,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/3384_MVR.png
3538_FV,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/3538_FV.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/3538_FV.txt,"moderate semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible",0.5310613512992859,,,0.0018196614691987,0.3619433641433716,0.6362369656562805,0.0,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/3538_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/3538_FV.png
3176_MVL,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/3176_MVL.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/3176_MVL.txt,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",0.6757362484931946,,,0.2211352586746215,0.0734993517398834,0.0383455418050289,0.6670198440551758,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/3176_MVL.png,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/3176_MVL.png
1735_FV,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/1735_FV.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/1735_FV.txt,"moderate semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible",0.5310613512992859,,,0.0018196614691987,0.3619433641433716,0.6362369656562805,0.0,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/1735_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/1735_FV.png
0431_FV,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0431_FV.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0431_FV.txt,"moderate semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible",0.5310613512992859,,,0.0018196614691987,0.3619433641433716,0.6362369656562805,0.0,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0431_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0431_FV.png
3380_MVL,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/3380_MVL.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/3380_MVL.txt,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",0.6757362484931946,,,0.2211352586746215,0.0734993517398834,0.0383455418050289,0.6670198440551758,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/3380_MVL.png,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/3380_MVL.png
3714_RV,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/3714_RV.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/3714_RV.txt,"moderate opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",0.5986670851707458,,,0.4318554699420929,0.0,0.0949259474873542,0.4732185900211334,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/3714_RV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/3714_RV.png
3576_MVL,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/3576_MVL.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/3576_MVL.txt,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",0.6757362484931946,,,0.2211352586746215,0.0734993517398834,0.0383455418050289,0.6670198440551758,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/3576_MVL.png,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/3576_MVL.png
0205_MVL,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0205_MVL.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0205_MVL.txt,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",0.6757362484931946,,,0.2211352586746215,0.0734993517398834,0.0383455418050289,0.6670198440551758,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0205_MVL.png,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0205_MVL.png
0385_MVR,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0385_MVR.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0385_MVR.txt,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",0.8715894818305969,,,0.0003466796770226,0.0,0.4437890648841858,0.5558642745018005,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0385_MVR.png,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0385_MVR.png
2430_MVL,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/2430_MVL.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/2430_MVL.txt,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",0.6757362484931946,,,0.2211352586746215,0.0734993517398834,0.0383455418050289,0.6670198440551758,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/2430_MVL.png,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/2430_MVL.png
0461_FV,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0461_FV.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0461_FV.txt,"moderate semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible",0.5310613512992859,,,0.0018196614691987,0.3619433641433716,0.6362369656562805,0.0,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0461_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0461_FV.png
1494_FV,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/1494_FV.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/1494_FV.txt,"moderate semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible",0.5310613512992859,,,0.0018196614691987,0.3619433641433716,0.6362369656562805,0.0,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/1494_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/1494_FV.png
2188_MVR,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/2188_MVR.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/2188_MVR.txt,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",0.8715894818305969,,,0.0003466796770226,0.0,0.4437890648841858,0.5558642745018005,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/2188_MVR.png,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/2188_MVR.png
3582_MVR,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/3582_MVR.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/3582_MVR.txt,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible",0.8715894818305969,,,0.0003466796770226,0.0,0.4437890648841858,0.5558642745018005,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/3582_MVR.png,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/3582_MVR.png
0033_FV,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0033_FV.jpg,/home/yf/soiling_project/sd_scripts/lora/training_data/dreambooth_format/train/0033_FV.txt,"moderate semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible",0.5310613512992859,,,0.0018196614691987,0.3619433641433716,0.6362369656562805,0.0,/home/yf/soiling_project/dataset/woodscape_raw/train/gtLabels/0033_FV.png,/home/yf/soiling_project/dataset/woodscape_raw/train/rgbImages/0033_FV.png
